Age,Height,Weight,Overall,Potential,PreferredFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,PositionClass
32,186,80,73,73,Right,3,Medium,Medium,56,70,63,67,72,80,55,73,69,70,60,67,70,46,68,72,59,54,60,70,58,72,56,80,82,71,83,76,69,57,48,64,65,76,73,10,10,13,8,10,MF
36,191,88,73,73,Right,1,Medium,Medium,72,69,67,73,35,75,15,17,12,32,14,18,10,15,33,26,33,37,41,69,58,50,78,25,65,12,43,15,12,53,20,51,12,20,12,72,69,67,75,73,GK
22,199,90,73,80,Right,1,Medium,Medium,74,72,69,74,27,73,12,8,10,28,5,11,13,14,27,15,28,25,42,62,28,52,43,30,70,7,25,11,8,40,18,42,15,10,14,74,72,69,73,74,GK
29,172,66,73,73,Right,3,Medium,High,69,46,65,67,69,79,51,42,55,73,47,61,46,46,70,67,68,69,81,64,81,50,63,82,74,46,94,73,62,69,43,75,70,69,75,11,14,7,10,5,MF
27,187,75,73,74,Right,3,Medium,Low,62,79,59,68,24,72,62,83,68,60,74,66,71,68,48,73,61,63,62,71,58,78,66,68,77,76,65,16,78,57,66,81,25,16,12,15,11,11,12,11,FO
32,177,71,73,73,Right,4,High,Medium,79,74,68,76,27,70,63,74,62,69,71,74,74,73,63,74,81,77,82,73,85,74,71,71,68,74,71,37,74,70,68,80,24,13,19,5,12,13,9,10,FO
25,177,73,73,78,Right,2,High,Medium,69,67,70,72,66,72,60,65,69,77,55,70,64,64,70,75,65,72,71,74,70,70,71,80,71,72,65,68,68,71,58,65,62,70,58,5,14,6,13,10,MF
29,190,85,73,73,Right,2,Medium,Medium,47,46,51,49,74,79,41,43,82,64,26,48,35,31,67,52,35,57,34,70,35,72,82,76,85,31,66,71,46,37,40,69,73,74,70,7,11,15,10,15,DE
32,175,76,73,73,Right,3,Medium,Medium,62,74,60,72,38,65,50,78,79,67,73,68,56,55,56,75,65,60,78,65,83,74,85,62,69,66,56,43,76,61,76,73,25,39,24,14,12,7,14,13,FO
26,177,80,73,74,Right,3,Medium,High,68,61,67,68,72,80,64,56,63,72,46,66,64,70,69,70,68,68,67,71,71,73,72,86,77,66,81,72,48,58,68,68,73,73,70,9,15,14,10,8,MF
31,175,72,73,73,Right,3,High,Medium,90,65,68,72,66,77,59,59,63,70,64,72,70,66,69,69,91,90,81,72,76,73,80,91,73,70,69,68,65,74,65,74,67,66,63,12,15,9,10,14,DE
26,177,76,73,73,Left,2,Medium,Medium,77,48,61,69,69,70,68,40,58,65,40,66,65,45,66,69,84,72,79,77,75,64,82,75,64,51,77,71,48,46,55,69,68,73,71,11,14,11,14,15,DE
26,191,90,73,73,Right,2,Medium,Medium,52,41,61,47,73,84,57,32,51,71,22,42,23,50,70,53,48,56,44,70,36,55,57,87,86,45,83,74,46,52,55,57,78,74,76,16,9,8,9,7,MF
23,184,75,73,81,Right,2,Medium,Medium,76,35,65,64,74,74,64,22,73,77,36,59,42,39,67,69,72,79,69,73,62,61,75,77,73,35,72,75,57,55,32,66,73,74,71,9,10,15,8,13,DE
33,186,70,73,73,Right,1,Medium,Medium,71,73,72,73,44,71,21,16,18,32,12,18,15,13,28,31,42,48,42,71,44,54,62,28,79,17,27,26,18,60,23,54,25,16,20,71,73,72,71,73,GK
23,177,75,73,80,Left,3,High,Medium,88,58,67,76,63,77,74,55,57,69,49,76,67,45,59,73,87,88,83,65,82,69,75,88,71,54,79,64,71,66,48,75,58,67,66,8,7,14,11,11,MF
24,193,80,73,78,Right,1,Medium,Medium,73,72,75,75,45,71,17,14,16,42,20,11,16,11,53,16,43,47,42,68,48,56,62,44,68,15,19,20,14,57,21,47,14,18,13,73,72,75,71,75,GK
31,182,79,73,73,Right,2,Medium,Medium,54,37,63,64,71,80,55,28,72,70,17,57,57,31,65,70,55,53,71,68,56,64,76,77,83,37,78,70,40,68,34,73,68,74,73,15,7,8,10,12,DE
27,200,101,73,73,Right,2,High,High,50,70,57,63,32,84,44,73,83,68,71,65,41,44,55,71,47,52,38,74,32,74,52,66,96,59,86,22,79,59,69,66,27,26,31,5,6,11,10,12,FO
19,185,73,73,82,Right,4,Medium,Medium,70,71,64,74,64,64,40,74,59,76,48,77,46,47,75,75,68,71,68,71,59,73,58,73,62,72,58,66,67,68,49,70,59,70,64,9,14,15,10,12,MF
26,183,82,73,74,Right,4,Medium,Medium,76,73,66,75,43,69,69,73,62,69,72,76,72,66,52,75,80,72,81,69,79,76,68,76,72,71,52,29,69,68,71,65,40,49,38,14,15,13,7,16,FO
25,192,88,73,77,Right,1,Medium,Medium,73,70,76,75,39,71,16,10,15,41,12,17,17,13,38,29,39,39,39,64,47,57,63,41,72,9,23,21,10,51,12,50,20,15,16,73,70,76,71,75,GK
22,193,86,73,82,Right,3,High,Low,77,72,56,67,32,82,45,75,74,61,68,67,57,45,50,68,74,80,67,72,60,74,76,84,85,66,72,26,75,64,58,72,29,27,23,7,14,14,8,9,FO
23,174,71,73,81,Left,4,High,Medium,86,55,70,77,64,63,75,52,54,71,47,78,68,59,64,75,87,85,84,70,82,64,52,74,58,48,63,64,70,71,58,70,65,66,64,11,8,8,9,6,MF
27,175,71,73,74,Right,4,Medium,Medium,75,60,71,78,63,63,69,51,47,75,64,77,60,51,72,77,77,73,87,76,83,67,64,79,53,70,68,70,69,71,62,64,63,64,65,8,11,13,8,14,MF
23,183,81,73,81,Right,4,High,Low,85,70,63,79,29,66,49,72,66,72,61,80,58,63,52,76,83,87,91,73,80,68,70,69,64,72,64,30,72,69,67,67,26,22,21,11,13,15,8,11,MF
26,178,69,73,76,Right,3,High,Medium,63,35,63,68,72,64,76,28,70,71,26,66,60,40,50,72,67,59,68,69,65,47,56,71,61,35,65,70,62,51,38,61,70,75,74,13,9,9,7,9,DE
29,186,82,73,73,Right,2,Medium,Medium,57,33,50,55,74,69,34,30,75,64,32,46,30,28,56,62,60,54,58,73,54,53,89,31,83,22,75,75,25,49,40,72,76,71,69,13,10,11,8,15,DE
27,173,71,73,73,Right,3,High,Medium,88,67,61,77,30,67,65,70,58,65,65,76,61,39,43,73,89,88,90,75,85,69,66,69,75,59,46,29,72,67,65,70,31,22,20,15,7,6,9,14,FO
33,196,92,73,73,Right,1,Medium,Medium,72,73,72,70,56,78,15,15,14,27,16,15,16,16,28,25,55,57,53,65,50,54,74,39,71,15,35,25,15,51,16,56,22,13,12,72,73,72,78,70,GK
29,193,92,73,73,Right,2,Low,High,52,33,46,50,73,77,38,27,76,61,31,45,29,30,37,57,34,66,43,64,42,55,63,58,90,25,74,70,28,45,43,67,75,73,71,16,13,14,13,11,DE
23,173,70,73,80,Right,3,Medium,High,71,61,67,73,71,77,56,61,68,77,38,74,63,34,67,74,67,74,70,70,77,74,73,74,79,59,77,64,70,72,37,70,76,72,66,14,10,8,14,8,MF
25,182,79,73,77,Left,3,High,Medium,70,74,55,72,28,60,49,75,70,63,75,74,60,53,55,74,71,69,70,72,54,76,60,55,69,68,43,26,76,48,70,66,21,22,29,8,13,10,8,7,FO
27,199,85,73,74,Left,2,Medium,Medium,52,32,48,52,73,78,27,30,80,60,32,47,27,28,60,60,51,52,43,71,46,42,81,73,84,22,69,72,33,50,41,53,75,70,71,8,10,13,12,10,DE
32,183,77,73,73,Left,2,Medium,High,72,54,65,67,74,75,62,56,68,72,41,65,52,39,68,69,66,77,64,73,66,62,80,76,74,48,74,74,55,62,48,70,75,73,75,8,9,11,7,11,DE
33,189,90,73,73,Right,2,Medium,High,52,41,51,63,74,70,36,34,74,63,56,60,38,33,52,66,52,52,64,72,57,50,82,62,75,41,66,73,42,50,54,68,73,77,74,12,16,8,6,13,DE
27,187,77,73,74,Left,3,Medium,Medium,55,67,73,68,72,66,53,64,68,83,49,68,69,66,80,73,55,55,60,68,57,75,65,61,71,73,62,71,62,72,55,65,70,75,70,10,14,14,12,9,MF
28,175,75,73,73,Right,3,High,Medium,83,72,66,71,40,85,60,73,66,68,64,69,64,56,65,71,84,83,75,67,91,76,90,89,84,67,80,44,75,70,74,71,34,38,33,13,14,12,11,9,FO
25,188,77,73,76,Right,2,Medium,High,66,42,54,61,74,77,38,41,72,68,39,58,38,38,57,64,66,66,59,67,63,58,76,80,78,26,70,70,34,51,59,66,77,76,71,14,13,14,11,7,DE
25,173,70,73,74,Right,4,Medium,Medium,91,68,66,75,49,65,64,70,65,70,72,77,69,65,61,72,93,89,82,65,72,75,78,59,63,60,73,41,69,66,56,74,41,58,42,6,7,14,8,9,MF
29,186,80,73,73,Left,3,High,Low,87,71,65,72,38,65,66,66,71,70,75,71,69,47,59,71,85,89,78,71,72,82,75,64,69,70,53,39,77,61,66,72,36,30,28,8,14,13,15,15,FO
23,176,75,73,81,Right,3,Medium,Medium,88,74,65,77,37,62,57,74,49,73,69,78,70,55,55,76,87,89,84,74,76,76,47,61,62,75,66,22,73,67,63,71,38,42,36,5,9,8,8,7,MF
28,178,71,73,73,Right,4,High,Medium,73,76,68,74,46,68,62,79,63,71,58,75,66,63,68,74,74,72,76,69,70,76,59,70,71,74,61,30,75,71,79,67,42,54,51,8,9,13,5,10,FO
21,173,68,73,83,Right,4,High,Medium,80,66,71,76,42,56,67,67,54,73,63,76,70,66,65,75,81,80,85,68,84,65,59,58,52,64,63,40,68,76,65,72,42,40,38,11,8,10,12,11,MF
27,184,84,73,74,Right,3,High,Medium,56,53,69,67,73,75,65,35,70,72,40,63,79,70,68,71,58,55,66,73,67,80,82,67,77,71,76,75,50,65,45,75,74,73,70,16,10,8,14,10,DE
27,165,68,73,73,Right,3,High,Medium,84,68,67,77,26,57,64,68,31,71,65,75,73,72,59,75,88,81,89,75,90,73,33,63,57,65,53,22,71,68,57,66,32,21,27,7,15,5,6,11,FO
27,181,74,73,73,Right,4,Medium,Low,91,73,66,75,31,72,65,69,65,65,64,75,51,75,65,72,90,91,86,63,74,87,81,76,81,74,44,35,73,69,61,74,21,30,25,14,8,15,12,10,FO
30,186,75,73,73,Left,3,Medium,Medium,66,49,67,69,73,74,65,42,68,73,55,67,64,45,69,72,64,67,63,74,68,64,82,77,75,44,68,74,66,62,46,71,75,73,71,11,15,16,9,16,DE
27,176,69,73,74,Right,2,High,High,72,43,60,71,72,80,47,45,60,71,34,70,37,32,65,75,71,73,71,60,73,59,72,82,79,29,84,70,32,62,44,59,77,72,69,9,15,7,7,8,MF
29,185,79,73,73,Right,2,High,High,78,39,54,62,70,82,38,38,81,64,36,60,36,34,60,62,77,78,68,66,59,46,91,78,83,31,83,66,52,59,39,68,67,72,69,10,12,13,6,12,DE
30,170,64,73,73,Right,3,High,Medium,84,54,66,71,67,64,66,42,57,71,55,70,68,54,62,71,88,80,85,67,73,68,71,78,57,64,61,71,68,63,52,62,67,67,70,13,15,14,9,8,DE
35,187,81,73,73,Right,3,High,Medium,49,74,59,68,41,80,51,74,78,66,73,65,57,51,46,75,53,46,61,79,53,80,75,74,87,70,71,35,79,68,63,70,44,35,24,11,9,14,13,6,FO
34,186,85,73,73,Right,1,Medium,Medium,72,73,72,73,59,71,31,14,19,25,15,13,30,12,27,22,58,61,56,67,57,54,70,42,71,15,13,21,11,42,30,53,25,20,21,72,73,72,71,73,GK
34,176,79,73,73,Right,3,Medium,Low,69,68,75,77,33,58,76,64,42,74,65,78,84,75,73,78,70,68,76,69,79,73,68,56,59,74,54,31,69,75,59,74,42,24,23,15,7,7,12,15,FO
31,188,81,73,73,Right,1,Medium,Medium,75,72,70,78,24,68,14,15,18,23,16,16,14,19,22,20,27,20,21,67,21,53,34,19,36,17,20,19,13,18,19,65,12,15,18,75,72,70,68,78,GK
26,188,85,73,75,Right,2,Medium,Medium,48,33,53,59,74,73,43,27,76,67,30,51,31,24,62,66,52,45,58,75,64,45,83,67,78,31,67,74,37,44,37,73,71,75,73,15,7,15,11,11,DE
24,183,70,73,78,Right,3,High,High,81,57,64,70,71,80,55,60,63,70,53,68,56,42,68,70,73,88,79,71,75,61,77,84,79,49,76,76,67,68,48,70,72,72,65,15,9,7,6,14,MF
26,178,71,73,74,Left,3,High,Medium,81,42,63,71,68,66,70,32,60,67,44,70,69,40,54,71,79,83,76,66,75,68,65,77,60,33,66,72,64,60,39,65,65,71,71,14,5,13,9,12,DE
27,186,76,73,74,Left,2,High,Medium,78,64,67,70,70,73,67,58,68,67,74,70,72,72,65,72,76,79,73,69,64,77,68,84,67,70,74,70,66,65,34,63,68,72,69,11,11,9,13,10,DE
28,185,84,73,73,Right,3,High,Medium,71,63,73,69,61,77,77,60,57,71,60,70,74,64,69,69,70,72,65,70,62,69,60,88,75,64,71,60,72,75,62,70,60,62,62,10,6,7,13,10,MF
28,186,79,73,73,Right,3,Medium,Medium,63,63,70,73,62,70,59,58,54,75,58,74,69,55,72,76,62,63,68,74,57,75,59,77,67,62,73,71,68,75,61,69,59,63,58,14,16,10,15,13,MF
25,175,64,73,76,Left,3,High,Medium,85,43,62,71,67,69,70,33,62,69,38,72,58,35,58,71,81,88,68,66,82,60,71,74,68,46,65,67,63,51,39,64,66,68,68,10,13,11,12,14,DE
29,184,78,73,73,Right,4,High,Medium,80,73,65,76,34,70,58,77,63,73,71,78,57,44,58,75,82,79,79,72,73,72,73,75,68,69,66,22,74,69,60,65,45,25,26,14,15,10,15,10,FO
26,178,69,73,76,Right,3,Medium,Medium,71,62,71,72,71,75,63,62,57,76,52,70,59,49,75,74,70,71,70,72,74,65,70,82,74,61,68,76,62,75,55,72,70,75,70,6,13,11,10,6,MF
32,194,85,73,73,Left,1,Medium,Medium,74,72,62,76,42,74,13,11,13,24,8,18,11,18,28,22,43,41,36,62,40,47,71,34,60,6,32,18,11,35,22,64,20,12,13,74,72,62,74,76,GK
35,179,76,73,73,Right,2,Medium,High,64,53,65,63,75,72,68,38,70,65,28,59,61,52,74,67,61,66,64,72,64,78,78,68,73,73,73,75,51,59,35,68,76,77,75,15,14,15,6,15,DE
25,186,81,73,75,Left,3,Medium,Medium,74,71,72,72,34,67,72,70,69,74,69,72,78,72,65,73,71,77,74,72,67,73,81,77,71,71,42,26,73,72,68,74,37,27,23,8,13,11,13,6,MF
24,191,72,73,79,Right,2,Medium,Medium,64,29,56,59,74,72,54,25,73,64,26,57,35,22,56,65,61,66,36,74,62,40,82,68,76,25,66,75,29,58,36,70,76,72,72,10,8,12,14,7,DE
29,196,83,73,73,Right,3,Medium,Medium,70,70,56,67,46,80,58,73,84,58,68,68,62,45,55,71,63,76,52,70,50,76,75,66,90,58,73,42,73,54,67,68,39,44,39,10,10,13,8,9,FO
31,186,80,73,73,Left,3,Medium,Medium,65,77,60,73,25,61,49,79,68,65,67,75,67,56,50,76,67,64,65,76,59,76,70,62,70,74,36,19,75,67,77,68,18,24,21,11,10,12,11,13,FO
24,185,76,73,78,Right,3,Medium,Medium,73,73,61,71,33,74,59,74,68,68,67,71,65,42,48,72,67,77,66,74,68,80,71,67,77,66,76,23,77,65,63,66,36,29,24,9,8,9,7,6,FO
30,175,71,73,73,Right,3,High,Medium,79,55,70,71,59,64,76,63,43,70,38,68,72,48,66,74,78,79,75,71,74,59,46,78,59,34,61,62,66,71,55,65,59,60,63,11,10,14,13,13,MF
19,174,77,73,86,Left,3,High,High,81,62,66,75,33,54,71,64,50,69,55,75,67,45,55,77,82,80,77,67,78,61,48,64,54,59,45,33,73,67,56,66,30,32,30,6,6,12,6,12,MF
31,178,81,73,73,Right,3,High,Medium,75,72,70,75,38,77,72,70,67,71,71,76,79,66,71,72,76,75,80,68,74,80,70,70,83,74,72,35,67,65,65,72,42,29,28,16,10,6,14,7,MF
25,184,78,73,76,Right,3,High,Medium,78,71,71,73,44,66,72,72,59,74,67,76,75,69,70,74,79,78,79,61,55,74,64,72,66,68,60,48,62,64,65,61,51,35,31,13,9,7,11,10,MF
23,175,76,73,80,Right,3,High,Medium,77,65,72,75,61,67,65,69,58,79,48,75,65,55,75,74,79,75,78,70,80,58,74,75,67,70,56,65,68,69,54,67,53,71,50,12,8,6,11,15,MF
34,192,86,73,73,Left,2,Medium,High,37,60,69,58,73,84,56,48,73,74,49,58,65,63,74,68,35,39,33,58,43,74,74,85,91,75,70,74,55,71,67,59,69,75,72,14,11,7,16,9,DE
31,180,82,73,73,Right,2,Medium,High,50,49,64,68,71,76,45,41,66,74,40,65,55,43,72,72,50,50,64,71,64,65,71,74,79,50,72,74,59,65,50,76,71,72,71,8,13,11,15,15,MF
33,192,80,73,73,Right,3,High,Medium,47,37,49,56,76,72,32,43,76,61,25,57,26,19,65,58,43,50,42,64,37,34,32,50,85,27,75,75,28,44,57,70,78,75,74,15,16,12,9,15,DE
27,177,72,73,73,Left,3,High,Medium,74,62,70,71,67,67,73,53,59,71,60,72,72,70,65,71,75,74,72,71,72,74,66,79,61,70,68,69,68,67,51,65,66,69,70,11,13,16,14,6,DE
34,175,75,73,73,Right,2,High,High,79,63,71,74,49,62,61,66,33,76,45,78,63,66,70,75,81,77,61,73,75,57,55,78,67,63,29,35,73,78,62,66,68,47,39,10,8,9,14,8,MF
34,183,78,73,73,Right,3,Medium,High,67,52,67,66,71,75,65,40,66,72,30,63,42,46,73,70,68,67,69,70,61,71,73,83,70,66,78,73,51,67,48,69,69,72,70,10,15,9,16,9,MF
31,179,77,73,73,Right,4,High,Medium,77,75,70,74,31,67,72,71,66,69,83,75,79,71,66,73,76,77,73,69,68,81,68,70,69,76,59,24,74,72,69,77,25,33,23,13,12,11,9,11,FO
28,179,69,73,73,Left,3,High,Medium,59,66,73,73,64,63,67,61,49,76,62,72,72,74,74,74,69,51,75,70,74,73,58,73,57,73,67,70,72,72,53,74,63,67,61,8,6,13,8,14,MF
27,177,72,73,74,Left,3,Medium,Medium,59,67,72,77,41,67,67,69,55,75,60,77,68,62,71,79,64,55,84,65,79,65,71,73,65,66,62,38,68,74,65,70,45,36,39,15,7,14,11,14,MF
28,180,75,73,73,Right,4,High,Low,74,75,71,73,42,70,73,75,69,72,64,73,74,74,65,73,75,73,76,66,70,77,66,74,66,78,77,28,72,71,66,72,48,38,36,10,7,13,13,7,FO
30,185,85,73,73,Right,3,High,High,68,65,69,68,70,78,62,60,68,71,59,67,74,63,74,71,65,70,66,69,58,76,74,87,76,68,72,72,69,68,59,72,69,70,67,12,11,11,9,12,MF
33,193,82,73,73,Left,2,Medium,High,58,47,54,57,72,80,22,33,75,70,23,56,27,55,74,62,61,55,51,61,44,72,80,71,85,66,78,73,39,51,27,54,68,74,74,12,13,9,6,10,DE
19,170,67,73,87,Left,4,Medium,Medium,78,62,71,78,37,42,72,64,40,73,48,77,56,57,68,77,82,75,87,69,87,60,40,68,33,62,32,38,67,76,59,70,35,40,32,10,10,6,14,7,MF
21,174,60,73,82,Left,2,High,Medium,85,50,64,73,67,60,74,43,55,68,51,73,70,41,63,69,88,83,90,69,84,64,76,75,48,50,66,71,68,50,42,64,68,69,64,11,12,9,13,13,DE
26,172,75,73,74,Left,4,High,Low,73,65,74,75,42,57,69,69,49,77,40,76,69,73,73,72,70,76,84,67,84,57,68,69,56,68,40,24,69,75,70,67,44,46,50,10,14,6,10,16,MF
29,175,66,73,73,Right,3,High,High,73,65,73,75,66,67,66,63,55,76,61,73,74,70,74,74,76,71,82,74,83,67,53,78,63,69,69,69,67,73,67,75,67,68,65,10,15,10,8,11,MF
38,180,81,73,73,Right,2,Low,Low,66,36,55,54,72,78,61,32,83,66,39,47,28,31,52,62,58,72,49,68,54,44,88,81,78,30,70,75,51,47,48,65,63,75,75,7,15,8,15,14,DE
28,175,65,73,73,Right,4,Medium,Medium,83,65,70,78,41,49,69,64,58,72,68,78,79,62,64,77,81,85,89,72,78,65,78,49,49,64,41,49,70,70,70,72,32,39,37,8,9,15,6,7,FO
33,188,81,73,73,Right,1,Medium,Medium,74,69,68,75,45,68,20,16,11,44,18,12,13,12,46,27,46,44,47,74,46,51,70,34,65,12,27,14,9,61,37,60,17,17,13,74,69,68,68,75,GK
20,170,61,73,86,Right,3,Medium,Medium,67,66,70,75,62,62,54,63,58,78,56,72,72,66,72,74,70,64,87,70,92,70,82,80,51,70,64,62,68,73,60,72,60,67,58,15,15,6,12,13,MF
26,189,78,73,75,Right,2,Low,High,60,41,58,53,74,76,44,42,79,65,35,47,52,53,68,58,57,62,52,69,59,45,88,72,78,35,74,72,54,55,35,60,74,75,72,15,10,12,11,14,DE
25,176,73,73,75,Right,3,High,High,79,34,61,70,68,68,71,26,48,70,23,69,54,36,50,70,74,83,76,70,77,45,75,80,62,38,65,66,47,50,40,66,72,70,70,10,13,15,7,7,DE
31,178,75,73,73,Left,4,High,Medium,85,72,65,76,56,69,70,73,75,65,70,77,75,45,63,75,84,85,80,66,81,79,90,80,62,64,65,57,73,64,65,75,41,62,60,6,10,12,15,9,FO
29,190,83,73,73,Left,3,High,Medium,74,61,65,70,72,75,70,61,75,68,60,72,51,61,64,69,71,77,65,70,57,64,62,74,79,58,68,70,62,59,51,71,72,73,71,11,7,11,11,13,DE
35,192,78,73,73,Right,3,Low,Low,37,77,75,71,41,63,72,76,73,77,74,71,73,75,72,77,34,40,55,76,54,79,58,48,73,77,60,45,77,78,71,77,31,37,39,9,8,14,12,6,MF
24,180,73,73,79,Left,4,Medium,Medium,68,67,74,73,59,59,67,66,34,79,41,71,67,59,75,75,69,68,74,76,70,68,49,59,62,73,55,70,70,77,73,79,64,59,50,12,9,10,8,12,MF
25,182,87,73,76,Left,3,Medium,Medium,71,72,51,69,30,79,46,72,82,58,65,69,58,60,47,70,71,71,65,74,70,77,85,73,80,69,80,18,76,42,64,67,23,30,24,11,11,14,9,6,FO
26,187,76,73,73,Left,3,Medium,Medium,72,64,70,73,67,74,75,57,68,72,66,74,74,70,64,75,69,74,72,77,57,71,68,73,72,73,82,64,69,65,62,67,68,68,69,13,10,8,12,13,DE
30,180,75,73,73,Left,3,Medium,Medium,85,56,59,70,70,71,65,50,56,61,60,72,58,47,42,66,79,89,75,73,66,73,85,79,69,51,64,73,62,63,55,63,76,66,71,14,12,7,9,12,DE
27,184,75,73,74,Right,3,High,Low,74,75,66,71,31,68,65,72,68,68,71,72,70,66,58,72,70,78,70,68,65,87,74,49,84,73,52,30,72,70,75,72,30,24,20,4,6,4,4,4,FO
22,179,77,73,73,Left,2,Medium,Medium,51,75,68,64,43,81,69,75,81,71,70,61,61,46,70,72,48,53,50,73,60,80,85,73,84,69,80,42,77,68,79,75,42,38,29,13,14,9,9,7,FO
29,178,65,73,73,Right,3,High,Medium,79,75,67,72,50,58,67,75,73,69,69,70,70,63,59,72,77,80,78,72,76,76,80,68,50,72,59,50,79,69,75,72,43,49,53,14,14,12,11,13,FO
27,187,78,73,74,Left,4,Medium,Medium,54,71,73,78,67,72,65,63,56,77,67,80,69,62,73,80,56,52,73,68,69,82,81,65,73,76,75,70,64,78,83,73,69,69,61,9,10,16,9,15,MF
28,171,64,73,73,Left,3,High,High,81,69,71,74,62,68,73,65,53,72,64,74,69,70,66,71,81,81,84,69,83,74,73,76,57,73,84,63,70,71,65,70,59,67,66,6,7,10,9,13,MF
32,182,75,73,73,Right,3,High,Medium,81,63,70,68,66,75,72,59,58,70,57,65,69,70,68,66,80,81,80,70,77,71,78,87,72,68,67,72,66,72,58,70,64,67,65,13,16,6,16,16,DE
33,184,75,73,73,Right,1,Medium,Medium,72,72,71,73,46,72,12,13,12,23,10,14,11,19,14,18,46,46,37,69,40,53,55,28,40,11,25,15,9,48,22,60,14,12,17,72,72,71,72,73,GK
24,185,75,73,77,Right,4,Medium,Low,87,60,69,74,32,61,74,60,40,70,60,76,69,50,64,72,84,90,81,70,70,68,32,73,64,54,48,32,72,70,46,68,27,35,33,8,7,12,13,6,MF
26,176,77,73,74,Right,3,High,Medium,79,70,67,76,54,71,70,69,61,67,69,77,65,51,69,74,83,76,79,68,79,76,67,71,69,70,79,50,72,68,57,73,57,54,49,14,6,7,10,6,MF
24,177,80,73,77,Right,3,Medium,Medium,73,48,61,69,71,71,68,41,64,67,43,69,60,35,59,69,69,76,68,69,71,57,89,72,72,53,65,70,58,54,56,65,72,74,72,11,10,10,6,10,DE
27,186,86,73,73,Right,3,Medium,Medium,63,75,58,69,26,70,54,76,75,69,75,69,65,47,45,71,64,63,67,74,66,78,70,64,76,71,63,18,76,52,60,68,24,21,18,9,13,7,16,6,FO
27,179,74,73,73,Right,3,High,Medium,81,67,69,74,64,62,72,65,45,69,50,77,75,67,60,73,79,83,73,69,75,73,50,73,61,68,56,65,71,70,66,68,65,70,55,13,16,13,10,6,MF
28,188,88,73,74,Right,1,Medium,Medium,74,73,72,72,51,72,11,14,11,37,14,18,11,19,53,25,53,48,45,70,49,54,65,33,68,12,28,12,11,53,30,46,12,11,18,74,73,72,72,72,GK
27,180,74,73,74,Left,3,Medium,Medium,70,71,71,73,71,71,66,68,68,75,75,71,64,66,73,75,73,68,72,73,80,76,70,79,69,75,68,72,70,70,61,73,71,72,70,10,9,7,15,7,MF
27,188,75,73,74,Left,3,Medium,Low,73,74,71,76,40,68,69,71,74,71,69,78,76,72,68,80,69,76,72,66,56,81,73,65,74,75,57,36,72,72,72,71,38,36,32,7,15,10,10,12,FO
25,166,70,73,76,Left,4,High,Medium,82,66,69,79,35,62,70,65,48,70,59,80,72,66,62,76,86,78,87,66,84,67,87,67,65,71,41,39,64,69,57,72,29,34,35,16,12,8,16,15,MF
33,190,83,73,73,Right,2,Low,High,33,30,54,53,75,71,40,28,77,67,21,44,51,40,60,63,34,33,47,66,45,30,74,50,78,29,77,73,40,47,42,73,74,76,74,12,12,13,14,12,DE
22,187,90,73,80,Right,3,Medium,Medium,59,66,69,71,70,81,59,61,64,75,64,73,59,50,73,74,57,60,56,72,55,77,64,77,87,68,77,74,64,74,54,76,69,73,63,9,14,15,12,9,MF
37,179,72,73,73,Right,3,Medium,Medium,52,70,80,75,65,60,79,62,52,79,76,75,86,82,78,78,51,53,68,66,75,79,49,52,63,74,66,68,64,81,81,79,67,66,65,11,15,13,6,9,MF
26,183,75,73,75,Right,3,High,High,83,57,66,69,68,75,65,56,70,69,38,67,63,48,66,69,81,84,73,68,68,68,84,76,74,51,76,71,67,68,62,71,61,72,71,5,15,12,11,14,DE
23,188,74,73,80,Right,1,Medium,Medium,72,71,74,76,43,70,13,6,13,38,9,18,12,11,40,22,45,39,44,69,48,56,68,19,60,8,21,12,4,42,30,63,18,10,14,72,71,74,70,76,GK
24,182,76,73,77,Right,3,Medium,Medium,74,68,70,75,67,75,66,66,57,74,55,76,60,63,68,77,75,73,71,71,70,76,76,85,73,74,68,68,68,74,45,72,67,71,66,9,5,7,12,7,MF
24,174,70,73,78,Left,3,Medium,Medium,75,46,60,73,69,63,64,56,53,68,34,71,55,34,53,74,84,67,82,68,80,43,71,80,48,31,77,69,56,54,36,62,68,74,75,11,9,13,10,11,DE
22,186,86,73,80,Right,2,High,Medium,67,36,53,65,71,80,26,35,73,66,28,62,32,31,63,69,60,73,64,66,64,48,84,65,85,25,84,68,30,60,51,67,68,75,73,10,13,10,6,5,DE
27,181,75,73,73,Left,2,Medium,High,65,59,67,69,71,74,58,54,69,74,54,67,52,51,76,70,66,64,69,68,74,71,76,74,73,57,77,74,66,64,53,69,68,71,72,14,8,12,8,11,MF
